musname	muse_id	town	postcode	accreditation	governance	size	subject_matter	closing_date	provenance	deprivation_index	geodemographic_group	geodemographic_subgroup	admin_area	region	gov	valid
The Grand Lodge Of Scotland	mm.mgs.343	Edinburgh	EH2 3DH	Unaccredited	Independent:Not for profit	small	Belief and identity:Freemasons	Still open	mgs	8.0	Larger Towns and Cities	Larger Towns and Cities	/Scotland/City of Edinburgh (Scottish Council Area)	Scotland	Independent	
The Reid Concert Hall Museum Of Instruments	mm.domus.SC291	Edinburgh	EH1 1LG	Unaccredited	University	small	Arts:Music	Still open	domus	3.0	Larger Towns and Cities	Larger Towns and Cities	/Scotland/City of Edinburgh (Scottish Council Area)	Scotland	University	
Pier House Museum	mm.misc.186	Sheltand Islands	ZE2 9AA	Unaccredited	Unknown	small	Local Histories	Still open	misc	8.0	Country Living	Country Living	/Scotland/Shetland Islands (Scottish Council Area)	Scotland	Unknown	
Caerlaverock Castle	mm.misc.219	Glencaple	DG1 4RU	Accredited	Independent:Historic Environment Scotland	unknown	War and conflict:Castles and forts	Still open	misc	6.0	Scottish Countryside	Scottish Countryside	/Scotland/Dumfries and Galloway (Scottish Council Area)	Scotland	Independent	
Kellie Castle	mm.misc.230	Anstruther	KY10 2RE	Unaccredited	Independent:National Trust for Scotland	unknown	Buildings:Houses:Large houses	Still open	misc	5.0	Scottish Industrial Heritage	Scottish Industrial Legacy	/Scotland/Fife (Scottish Council Area)	Scotland	Independent	
Governors House Museum	mm.misc.220	Dumbarton	G82 1JJ	Unaccredited	Independent:Historic Environment Scotland	unknown	War and conflict:Castles and forts	Still open	misc	7.0	Scottish Industrial Heritage	Scottish Industrial Legacy	/Scotland/West Dunbartonshire (Scottish Council Area)	Scotland	Independent	
Royal Navy Submarine Museum	mm.domus.SE350	Gosport	PO12 2AS	Accredited	Government:National	large	War and conflict:Navy	Still open	domus	8.0	Services Manufacturing and Mining Legacy	Service Economy	/England/South East (English Region)/Hampshire (English County)/Gosport (English District or Borough)	South East (English Region)	Government	
Seacity Museum	mm.ace.1261	Southampton	SO14 7FY	Accredited	Government:Local Authority	large	Local Histories	Still open	ace	2.0	Larger Towns and Cities	Larger Towns and Cities	/England/South East (English Region)/Southampton (English UA)	South East (English Region)	Government	
Brighton Museum And Art Gallery	mm.domus.SE211	Brighton	BN1 1EE	Accredited	Government:Local Authority	large	Mixed:Encyclopaedic	Still open	domus	2.0	University Towns and Cities	University Towns and Cities	/England/South East (English Region)/Brighton and Hove (English UA)	South East (English Region)	Government	
Polesden Lacey	mm.domus.SE547	Dorking	RH5 6BD	Accredited	Independent:National Trust	large	Buildings:Houses:Large houses	Still open	domus	9.0	Thriving Rural	Affluent rural	/England/South East (English Region)/Surrey (English County)/Mole Valley (English District or Borough)	South East (English Region)	Independent	
Didcot Railway Centre	mm.domus.SE259	Didcot	OX11 7NJ	Accredited	Independent:Not for profit	large	Transport:Trains and railways	Still open	domus	8.0	Thriving Rural	Affluent rural	/England/South East (English Region)/Oxfordshire (English County)/South Oxfordshire (English District or Borough)	South East (English Region)	Independent	
Scotney Castle	mm.ace.1205	Tunbridge Wells	TN3 8JN	Accredited	Independent:National Trust	large	Buildings:Houses:Large houses	Still open	ace	7.0	Thriving Rural	Rural Growth Areas	/England/South East (English Region)/Kent (English County)/Tunbridge Wells (English District or Borough)	South East (English Region)	Independent	
Batemans	mm.domus.SE528	Etchingham	TN19 7DS	Accredited	Independent:National Trust	large	Personality:Literary	Still open	domus	7.0	Remoter Coastal Living	Ageing Coastal Living	/England/South East (English Region)/East Sussex (English County)/Rother (English District or Borough)	South East (English Region)	Independent	
Weald & Downland Living Museum	mm.domus.SE405	Chichester	PO18 0EU	Accredited	Independent:Not for profit	large	Buildings:Other	Still open	domus	6.0	English and Welsh Countryside	Older Farming Communities	/England/South East (English Region)/West Sussex (English County)/Chichester (English District or Borough)	South East (English Region)	Independent	
Brooklands Museum	mm.domus.SE205	Weybridge	KT13 0QN	Accredited	Independent:Not for profit	large	Transport:Mixed	Still open	misc	8.0	Rural-Urban Fringe	Rural-Urban Fringe	/England/South East (English Region)/Surrey (English County)/Elmbridge (English District or Borough)	South East (English Region)	Independent	
Museum Of The History Of Science, University Of Oxford	mm.domus.SE394	Oxford	OX1 3AZ	Accredited	University	large	Science and technology:Other	Still open	domus	7.0	University Towns and Cities	University Towns and Cities	/England/South East (English Region)/Oxfordshire (English County)/Oxford (English District or Borough)	South East (English Region)	University	
Maritime Museum & Bucklers Hard Story	mm.aim.0583	Beaulieu	SO42 7ZN	Unaccredited	Independent:Not for profit	large	Sea and seafaring:Mixed	Still open	aim	5.0	Remoter Coastal Living	Ageing Coastal Living	/England/South East (English Region)/Hampshire (English County)/New Forest (English District or Borough)	South East (English Region)	Independent	
Winchester City Museum	mm.domus.SE254	Winchester	SO23 9ES	Accredited	Government:Local Authority	medium	Local Histories	Still open	domus	9.0	Thriving Rural	Affluent rural	/England/South East (English Region)/Hampshire (English County)/Winchester (English District or Borough)	South East (English Region)	Government	
Booth Museum Of Natural History	mm.domus.SE210	Brighton	BN1 5AA	Accredited	Government:Local Authority	medium	Natural world:Mixed	Still open	domus	6.0	University Towns and Cities	University Towns and Cities	/England/South East (English Region)/Brighton and Hove (English UA)	South East (English Region)	Government	
Chertsey Museum	mm.domus.SE235	Chertsey	KT16 8AT	Accredited	Government:Local Authority	medium	Local Histories	Still open	domus	8.0	Rural-Urban Fringe	Rural-Urban Fringe	/England/South East (English Region)/Surrey (English County)/Runnymede (English District or Borough)	South East (English Region)	Government	
Abingdon Museum	mm.domus.SE170	Abingdon	OX14 3HG	Accredited	Government:Local Authority	medium	Local Histories	Still open	domus	6.0	Thriving Rural	Affluent rural	/England/South East (English Region)/Oxfordshire (English County)/Vale of White Horse (English District or Borough)	South East (English Region)	Government	
Explosion! The Museum Of Naval Firepower	mm.ace.1153	Gosport	PO12 4LE	Accredited	Government:National	medium	War and conflict:Navy	Still open	ace	6.0	Services Manufacturing and Mining Legacy	Service Economy	/England/South East (English Region)/Hampshire (English County)/Gosport (English District or Borough)	South East (English Region)	Government	
Smallhythe Place	mm.domus.SE537	Tenterden	TN30 7NG	Accredited	Independent:National Trust	medium	Personality:Other	Still open	domus	7.0	Country Living	Country Living	/England/South East (English Region)/Kent (English County)/Ashford (English District or Borough)	South East (English Region)	Independent	
Anne Of Cleves House Museum	mm.domus.SE416	Lewes	BN7 1JA	Accredited	Independent:Not for profit	medium	Buildings:Houses:Medium houses	Still open	domus	9.0	Remoter Coastal Living	Ageing Coastal Living	/England/South East (English Region)/East Sussex (English County)/Lewes (English District or Borough)	South East (English Region)	Independent	
Gilbert White & The Oates Collection	mm.domus.SE396	Alton	GU34 3JH	Accredited	Independent:Not for profit	medium	Personality:Scientific	Still open	domus	7.0	Thriving Rural	Affluent rural	/England/South East (English Region)/Hampshire (English County)/East Hampshire (English District or Borough)	South East (English Region)	Independent	
Monk's House	mm.domus.SE530	Lewes	BN7 3HF	Accredited	Independent:National Trust	medium	Personality:Art	Still open	domus	7.0	Remoter Coastal Living	Ageing Coastal Living	/England/South East (English Region)/East Sussex (English County)/Lewes (English District or Borough)	South East (English Region)	Independent	
Crafts Study Centre	mm.domus.SW032	Farnham	GU9 7DS	Accredited	Independent:Not for profit	medium	Arts:Ceramics	Still open	domus	8.0	Thriving Rural	Affluent rural	/England/South East (English Region)/Surrey (English County)/Waverley (English District or Borough)	South East (English Region)	Independent	
Riverside Museum At Blakes Lock	mm.domus.SE097	Reading	RG1 3DH	Unaccredited	Government:Local Authority	medium	Local Histories	Still open	domus	3.0	University Towns and Cities	University Towns and Cities	/England/South East (English Region)/Reading (English UA)	South East (English Region)	Government	
Museum Of Eton Life	mm.domus.SE466	Windsor	SL4 6DB	Unaccredited	Independent:Not for profit	medium	Other	Still open	domus	8.0	Rural-Urban Fringe	Rural-Urban Fringe	/England/South East (English Region)/Windsor and Maidenhead (English UA)	South East (English Region)	Independent	
Oakhurst Cottage	mm.domus.SE555	nr Godalming	GU8 4HF	Unaccredited	Independent:National Trust	medium	Buildings:Houses:Small houses	Still open	domus	9.0	Thriving Rural	Affluent rural	/England/South East (English Region)/Surrey (English County)/Waverley (English District or Borough)	South East (English Region)	Independent	
West Wycombe Park	mm.domus.SE517	West Wycombe	HP14 3AU	Unaccredited	Independent:National Trust	medium	Buildings:Houses:Large houses	Still open	domus	8.0	Rural-Urban Fringe	Rural-Urban Fringe	/England/South East (English Region)/Buckinghamshire (English County)/Wycombe (English District or Borough)	South East (English Region)	Independent	
Stowe House	mm.hha.007	Buckingham	MK18 5EH	Unaccredited	Independent:Private	medium	Buildings:Houses:Large houses	Still open	hha	7.0	Thriving Rural	Rural Growth Areas	/England/South East (English Region)/Buckinghamshire (English County)/Aylesbury Vale (English District or Borough)	South East (English Region)	Independent	
St Augustines Abbey	mm.musa.320	Canterbury	CT1 1TF	Unaccredited	Independent:English Heritage	medium	Belief and identity:Religious buildings	Still open	musassoc	3.0	Larger Towns and Cities	Larger Towns and Cities	/England/South East (English Region)/Kent (English County)/Canterbury (English District or Borough)	South East (English Region)	Independent	
Sandwich Guildhall Museum	mm.domus.SE019	Sandwich	CT13 9AH	Accredited	Government:Local Authority	small	Local Histories	Still open	domus	9.0	Remoter Coastal Living	Seaside Living	/England/South East (English Region)/Kent (English County)/Dover (English District or Borough)	South East (English Region)	Government	
The Seaside Museum	mm.domus.SE603	Herne Bay	CT6 5EJ	Accredited	Government:Local Authority	small	Local Histories	Still open	domus	2.0	Larger Towns and Cities	Larger Towns and Cities	/England/South East (English Region)/Kent (English County)/Canterbury (English District or Borough)	South East (English Region)	Government	
Send And Ripley Local History Museum	mm.wiki.359	Woking	GU23 6AF	Accredited	Independent:Not for profit	small	Local Histories	Still open	wiki	5.0	Rural-Urban Fringe	Rural-Urban Fringe	/England/South East (English Region)/Surrey (English County)/Guildford (English District or Borough)	South East (English Region)	Independent	
Ash Museum	mm.ace.1163	Ash	GU12 5DP	Accredited	Independent:Not for profit	small	Local Histories	Still open	ace	10.0	Rural-Urban Fringe	Rural-Urban Fringe	/England/South East (English Region)/Surrey (English County)/Guildford (English District or Borough)	South East (English Region)	Independent	
King Johns House	mm.aim.0513	Romsey	SO51 8BT	Accredited	Independent:Not for profit	small	Buildings:Other	Still open	aim	9.0	Thriving Rural	Rural Growth Areas	/England/South East (English Region)/Hampshire (English County)/Test Valley (English District or Borough)	South East (English Region)	Independent	
Royal Hampshire Regiment Museum	mm.domus.SE165	Winchester	SO23 9EG	Accredited	Independent:Not for profit	small	War and conflict:Regiment	Still open	domus	9.0	Thriving Rural	Affluent rural	/England/South East (English Region)/Hampshire (English County)/Winchester (English District or Borough)	South East (English Region)	Independent	
Crawley Museum Centre	mm.domus.SE454	Crawley	RH10 1GE	Accredited	Independent:Not for profit	small	Local Histories	Still open	domus	5.0	Suburban Traits	Expanding Areas	/England/South East (English Region)/West Sussex (English County)/Crawley (English District or Borough)	South East (English Region)	Independent	
Pitstone Green Farm Museum	mm.domus.SE287	Leighton Buzzard	LU7 9EY	Accredited	Independent:Not for profit	small	Rural Industry:Farming	Still open	domus	9.0	Thriving Rural	Rural Growth Areas	/England/South East (English Region)/Buckinghamshire (English County)/Aylesbury Vale (English District or Borough)	South East (English Region)	Independent	
Egham Museum	mm.domus.SE269	Egham	TW20 9EW	Accredited	Independent:Not for profit	small	Local Histories	Still open	domus	8.0	Rural-Urban Fringe	Rural-Urban Fringe	/England/South East (English Region)/Surrey (English County)/Runnymede (English District or Borough)	South East (English Region)	Independent	
Bishops Waltham Museum	mm.domus.SE087	Southampton	SO32 1DH	Accredited	Independent:Not for profit	small	Local Histories	Still open	domus	8.0	Thriving Rural	Affluent rural	/England/South East (English Region)/Hampshire (English County)/Winchester (English District or Borough)	South East (English Region)	Independent	
Timeball Tower	mm.domus.SE367	Deal	CT14 7BP	Unaccredited	Government:Local Authority	small	Other	Still open	domus	4.0	Remoter Coastal Living	Seaside Living	/England/South East (English Region)/Kent (English County)/Dover (English District or Borough)	South East (English Region)	Government	
Morris Motors Museum	mm.musa.240	Woodstock	OX29 8LA	Unaccredited	Independent:Not for profit	small	Transport:Cars and motorbikes	Still open	musassoc	9.0	Thriving Rural	Affluent rural	/England/South East (English Region)/Oxfordshire (English County)/West Oxfordshire (English District or Borough)	South East (English Region)	Independent	
Dover Transport Museum	mm.domus.SE459	Dover	CT16 2HQ	Unaccredited	Independent:Not for profit	small	Transport:Mixed	Still open	domus	5.0	Remoter Coastal Living	Seaside Living	/England/South East (English Region)/Kent (English County)/Dover (English District or Borough)	South East (English Region)	Independent	
Rose Street Cottage of Curiosities	mm.wiki.232	Sheerness	ME12 1AJ	Unaccredited	Independent:Not for profit	small	Local Histories	Still open	wiki	1.0	Country Living	Country Living	/England/South East (English Region)/Kent (English County)/Swale (English District or Borough)	South East (English Region)	Independent	
Eastbourne Heritage Centre	mm.musa.122	Eastbourne	BN21 4JJ	Unaccredited	Independent:Not for profit	small	Local Histories	Still open	musassoc	4.0	Larger Towns and Cities	Larger Towns and Cities	/England/South East (English Region)/East Sussex (English County)/Eastbourne (English District or Borough)	South East (English Region)	Independent	
Isle Of Wight Bus And Coach Museum	mm.wiki.214	Ryde	PO33 2BE	Unaccredited	Independent:Not for profit	small	Transport:Buses and trams	Still open	wiki	3.0	Remoter Coastal Living	Ageing Coastal Living	/England/South East (English Region)/Isle of Wight (English UA)	South East (English Region)	Independent	
Diving Museum	mm.aim.0441	Gosport	PO12 2QU	Unaccredited	Independent:Not for profit	small	Sea and seafaring:Other	Still open	aim	7.0	Services Manufacturing and Mining Legacy	Service Economy	/England/South East (English Region)/Hampshire (English County)/Gosport (English District or Borough)	South East (English Region)	Independent	
East Cowes Heritage Centre	mm.wiki.501	Cowes	PO32 6EP	Unaccredited	Independent:Not for profit	small	Local Histories	Still open	wiki	4.0	Remoter Coastal Living	Ageing Coastal Living	/England/South East (English Region)/Isle of Wight (English UA)	South East (English Region)	Independent	
Winchester Cathedral Triforium Gallery	mm.musa.386	Winchester	SO23 9LS	Unaccredited	Independent:Not for profit	small	Belief and identity:Religious buildings	Still open	musassoc	9.0	Thriving Rural	Affluent rural	/England/South East (English Region)/Hampshire (English County)/Winchester (English District or Borough)	South East (English Region)	Independent	
Loseley Park	mm.hha.020	Guildford	GU3 1HS	Unaccredited	Independent:Private	small	Buildings:Houses:Large houses	Still open	hha	8.0	Rural-Urban Fringe	Rural-Urban Fringe	/England/South East (English Region)/Surrey (English County)/Guildford (English District or Borough)	South East (English Region)	Independent	
Hovercraft Museum	mm.aim.1085	Lee-on-the-Solent	PO13 9NS	Unaccredited	Independent:Not for profit	small	Transport:Other	Still open	aim	8.0	Services Manufacturing and Mining Legacy	Service Economy	/England/South East (English Region)/Hampshire (English County)/Gosport (English District or Borough)	South East (English Region)	Independent	
Minster Abbey Gatehouse Museum	mm.musa.235	Sheerness	ME12 2HW	Unaccredited	Independent:Not for profit	small	Local Histories	Still open	musassoc	6.0	Country Living	Country Living	/England/South East (English Region)/Kent (English County)/Swale (English District or Borough)	South East (English Region)	Independent	
Lilliput Museum Of Antique Dolls And Toys	mm.musa.201	Brading	PO36 0DJ	Unaccredited	Independent:Private	small	Leisure and sport:Toys and models	Still open	musassoc	4.0	Remoter Coastal Living	Ageing Coastal Living	/England/South East (English Region)/Isle of Wight (English UA)	South East (English Region)	Independent	
National Badminton Museum	mm.aim.0677	Milton Keynes	MK8 9LA	Unaccredited	Independent:Not for profit	small	Leisure and sport:Other	Still open	aim	8.0	Suburban Traits	Expanding Areas	/England/South East (English Region)/Milton Keynes (English UA)	South East (English Region)	Independent	
Frazer Nash Archives	mm.aim.0353	Henley-on-Thames	RG9 1HG	Unaccredited	Independent:Not for profit	small	Transport:Cars and motorbikes	Still open	aim	9.0	Thriving Rural	Affluent rural	/England/South East (English Region)/Oxfordshire (English County)/South Oxfordshire (English District or Borough)	South East (English Region)	Independent	
Elham Valley Countryside Centre And Railway Museum	mm.wiki.223	Folkestone	CT18 8AZ	Unaccredited	Independent:Not for profit	small	Transport:Trains and railways	Still open	wiki	7.0	Remoter Coastal Living	Seaside Living	/England/South East (English Region)/Kent (English County)/Shepway (English District or Borough)	South East (English Region)	Independent	
Goodwood House	mm.hha.024	Chichester	PO18 0PX	Unaccredited	Independent:Private	small	Buildings:Houses:Large houses	Still open	hha	6.0	English and Welsh Countryside	Older Farming Communities	/England/South East (English Region)/West Sussex (English County)/Chichester (English District or Borough)	South East (English Region)	Independent	
Kent Police Museum	mm.domus.SE483	Maidstone	ME15 9BZ	Unaccredited	Independent:Not for profit	small	Services:Police	Still open	domus	7.0	Thriving Rural	Rural Growth Areas	/England/South East (English Region)/Kent (English County)/Maidstone (English District or Borough)	South East (English Region)	Independent	
Sir Max Aitken Museum	mm.musa.311	West Cowes	PO31 7AJ	Unaccredited	Independent:Not for profit	small	Sea and seafaring:Mixed	Still open	musassoc	6.0	Remoter Coastal Living	Ageing Coastal Living	/England/South East (English Region)/Isle of Wight (English UA)	South East (English Region)	Independent	
Chenies Manor House	mm.hha.005	Chenies	WD3 6ER	Unaccredited	Independent:Private	small	Buildings:Houses:Large houses	Still open	hha	8.0	Thriving Rural	Affluent rural	/England/South East (English Region)/Buckinghamshire (English County)/Chiltern (English District or Borough)	South East (English Region)	Independent	
The National Museum Of Computing	mm.misc.007	Milton Keynes	MK3 6EB	Unaccredited	Independent:Not for profit	small	Science and technology:Computing and gaming	Still open	misc	8.0	Suburban Traits	Expanding Areas	/England/South East (English Region)/Milton Keynes (English UA)	South East (English Region)	Independent	
Wanborough Great Barn	mm.musa.370	Wanborough	GU3 2JR	Unaccredited	Unknown	small	Buildings:Other	Still open	musassoc	8.0	Rural-Urban Fringe	Rural-Urban Fringe	/England/South East (English Region)/Surrey (English County)/Guildford (English District or Borough)	South East (English Region)	Unknown	
National Needlework Archive	mm.New.79	Newbury	RG19 6HW	Unaccredited	Independent:Not for profit	unknown	Arts:Costume and textiles	Still open	New	7.0	Thriving Rural	Rural Growth Areas	/England/South East (English Region)/West Berkshire (English UA)	South East (English Region)	Independent	
Fashion Museum	mm.domus.SW052	Bath	BA1 2QH	Accredited	Government:Local Authority	large	Arts:Costume and textiles	Still open	domus	5.0	Larger Towns and Cities	Larger Towns and Cities	/England/South West (English Region)/West of England (English CA)/Bath and North East Somerset (English District or Borough)	South West (English Region)	Government	
Fleet Air Arm Museum	mm.domus.SW118	nr Yeovil	BA22 8HT	Accredited	Government:National	large	War and conflict:Navy	Still open	domus	7.0	English and Welsh Countryside	Sparse English and Welsh Countryside	/England/South West (English Region)/Somerset (English County)/South Somerset (English District or Borough)	South West (English Region)	Government	
Chedworth Roman Villa	mm.domus.SW242	Near Cheltenham	GL54 3LJ	Accredited	Independent:National Trust	large	Archaeology:Roman	Still open	domus	6.0	English and Welsh Countryside	Older Farming Communities	/England/South West (English Region)/Gloucestershire (English County)/Cotswold (English District or Borough)	South West (English Region)	Independent	
Arlington Court & National Trust Carriage Museum	mm.domus.SW231	Near Barnstaple	EX31 4LP	Accredited	Independent:National Trust	large	Mixed:Other	Still open	domus	5.0	Remoter Coastal Living	Ageing Coastal Living	/England/South West (English Region)/Devon (English County)/North Devon (English District or Borough)	South West (English Region)	Independent	
Trerice	mm.domus.SW204	Newquay	TR8 4PG	Accredited	Independent:National Trust	large	Buildings:Houses:Large houses	Still open	domus	5.0	Remoter Coastal Living	Ageing Coastal Living	/England/South West (English Region)/Cornwall (English UA)	South West (English Region)	Independent	
Lacock Abbey	mm.domus.SW215	near Chippenham	SN15 2LG	Unaccredited	Independent:National Trust	large	Buildings:Houses:Large houses	Still open	domus	7.0	Country Living	Country Living	/England/South West (English Region)/Wiltshire (English UA)	South West (English Region)	Independent	
Corfe Castle Museum	mm.domus.SW179	Corfe Castle	BH20 5HA	Unaccredited	Independent:Not for profit	large	Local Histories	Still open	domus	6.0	English and Welsh Countryside	Older Farming Communities	/England/South West (English Region)/Dorset (English County)/Purbeck (English District or Borough)	South West (English Region)	Independent	
Scaplens Court Museum	mm.domus.SW101	Poole	BH15 1JW	Accredited	Government:Local Authority	medium	Buildings:Houses:Medium houses	Still open	domus	7.0	Town Living	Prosperous Towns	/England/South West (English Region)/Poole (English UA)	South West (English Region)	Government	
Weymouth Museum	mm.aim.1308	Weymouth	DT4 8TR	Accredited	Government:Local Authority	medium	Local Histories	Still open	aim	4.0	Remoter Coastal Living	Seaside Living	/England/South West (English Region)/Dorset (English County)/Weymouth and Portland (English District or Borough)	South West (English Region)	Government	
Museum Of Gloucester	mm.domus.SW065	Gloucester	GL1 1HP	Accredited	Government:Local Authority	medium	Mixed:Encyclopaedic	Still open	domus	1.0	Manufacturing Traits	Urban Living	/England/South West (English Region)/Gloucestershire (English County)/Gloucester (English District or Borough)	South West (English Region)	Government	
Shaftesbury Abbey Museum	mm.domus.SW126	Shaftesbury	SP7 8JR	Accredited	Independent:Not for profit	medium	Belief and identity:Religious buildings	Still open	domus	5.0	English and Welsh Countryside	Sparse English and Welsh Countryside	/England/South West (English Region)/Dorset (English County)/North Dorset (English District or Borough)	South West (English Region)	Independent	
Alexander Keiller Museum	mm.domus.SW193	nr Marlborough	SN8 1RF	Accredited	Independent:National Trust	medium	Archaeology:Prehistory	Still open	domus	6.0	Country Living	Country Living	/England/South West (English Region)/Wiltshire (English UA)	South West (English Region)	Independent	
Watchet Market House Museum	mm.domus.SW146	Watchet	TA23 0AN	Accredited	Independent:Not for profit	medium	Local Histories	Still open	domus	3.0	Remoter Coastal Living	Ageing Coastal Living	/England/South West (English Region)/Somerset (English County)/West Somerset (English District or Borough)	South West (English Region)	Independent	
The New Room	mm.ace.1097	Bristol	BS1 3JE	Accredited	Independent:Not for profit	medium	Personality:Religious	Still open	ace	4.0	Larger Towns and Cities	Larger Towns and Cities	/England/South West (English Region)/Bristol (English UA)	South West (English Region)	Independent	
Nothe Fort Weymouth	mm.domus.SW189	Weymouth	DT4 8UF	Accredited	Independent:Not for profit	medium	War and conflict:Castles and forts	Still open	domus	4.0	Remoter Coastal Living	Seaside Living	/England/South West (English Region)/Dorset (English County)/Weymouth and Portland (English District or Borough)	South West (English Region)	Independent	
John Creasey Museum	mm.domus.SW055	Salisbury	SP1 1BL	Accredited	Independent:Not for profit	medium	Arts:Fine and decorative arts	Still open	domus	4.0	Country Living	Country Living	/England/South West (English Region)/Wiltshire (English UA)	South West (English Region)	Independent	
Portland Museum	mm.domus.SW166	Portland	DT5 1HS	Unaccredited	Government:Local Authority	medium	Local Histories	Still open	domus	5.0	Remoter Coastal Living	Seaside Living	/England/South West (English Region)/Dorset (English County)/Weymouth and Portland (English District or Borough)	South West (English Region)	Government	
Avon Valley Railway	mm.aim.0044	Bristol	BS30 6HD	Unaccredited	Independent:Not for profit	medium	Transport:Trains and railways	Still open	aim	6.0	Town Living	Prosperous Towns	/England/South West (English Region)/West of England (English CA)/South Gloucestershire (English District or Borough)	South West (English Region)	Independent	
Sherborne Steam & Waterwheel Centre	mm.misc.097	Sherborne	DT9 3RX	Unaccredited	Independent:Not for profit	medium	Rural Industry:Watermills	Still open	Misc	7.0	English and Welsh Countryside	Older Farming Communities	/England/South West (English Region)/Dorset (English County)/West Dorset (English District or Borough)	South West (English Region)	Independent	
Cornwall Aviation Heritage Centre	mm.misc.047	Newquay	TR8 4JN	Unaccredited	Independent:Unknown	medium	Transport:Aviation	Still open	misc	5.0	Remoter Coastal Living	Ageing Coastal Living	/England/South West (English Region)/Cornwall (English UA)	South West (English Region)	Independent	
Swanage Railway	mm.aim.1206	Swanage	BH19 1HB	Unaccredited	Independent:Not for profit	medium	Transport:Trains and railways	Still open	aim	7.0	English and Welsh Countryside	Older Farming Communities	/England/South West (English Region)/Dorset (English County)/Purbeck (English District or Borough)	South West (English Region)	Independent	
Wilton House	mm.aim.1322	Salisbury	SP2 0BJ	Unaccredited	Independent:Private	medium	Buildings:Houses:Large houses	Still open	aim	9.0	Country Living	Country Living	/England/South West (English Region)/Wiltshire (English UA)	South West (English Region)	Independent	
Bridport Museum	mm.domus.SW151	Bridport	DT6 3NR	Accredited	Government:Local Authority	small	Local Histories	Still open	domus	5.0	English and Welsh Countryside	Older Farming Communities	/England/South West (English Region)/Dorset (English County)/West Dorset (English District or Borough)	South West (English Region)	Government	
Sturminster Newton Museum & Mill	mm.domus.SW167	Sturminster Newton	DT10 1AN	Accredited	Independent:Not for profit	small	Local Histories	Still open	domus	5.0	English and Welsh Countryside	Sparse English and Welsh Countryside	/England/South West (English Region)/Dorset (English County)/North Dorset (English District or Borough)	South West (English Region)	Independent	
Thornbury and District Museum	mm.domus.SW136	Bristol	BS35 2BJ	Accredited	Independent:Not for profit	small	Local Histories	Still open	domus	4.0	Town Living	Prosperous Towns	/England/South West (English Region)/West of England (English CA)/South Gloucestershire (English District or Borough)	South West (English Region)	Independent	
Bruton Museum	mm.domus.SW229	Bruton	BA10 0AA	Accredited	Independent:Not for profit	small	Local Histories	Still open	domus	6.0	English and Welsh Countryside	Sparse English and Welsh Countryside	/England/South West (English Region)/Somerset (English County)/South Somerset (English District or Borough)	South West (English Region)	Independent	
King Johns Hunting Lodge	mm.domus.SW187	Axbridge	BS26 2AP	Accredited	Independent:Not for profit	small	Local Histories	Still open	domus	7.0	English and Welsh Countryside	Sparse English and Welsh Countryside	/England/South West (English Region)/Somerset (English County)/Sedgemoor (English District or Borough)	South West (English Region)	Independent	
Wotton Under Edge Heritage Centre	mm.domus.SW116	Wotton-under-Edge	GL12 7AD	Accredited	Independent:Not for profit	small	Local Histories	Still open	domus	9.0	Country Living	Country Living	/England/South West (English Region)/Gloucestershire (English County)/Stroud (English District or Borough)	South West (English Region)	Independent	
Bath Postal Museum	mm.domus.SW005	Bath	BA1 1AJ	Accredited	Independent:Not for profit	small	Communications:Post	Still open	domus	3.0	Larger Towns and Cities	Larger Towns and Cities	/England/South West (English Region)/West of England (English CA)/Bath and North East Somerset (English District or Borough)	South West (English Region)	Independent	
Totnes Elizabethan House Museum	mm.domus.SW141	Totnes	TQ9 5RU	Accredited	Independent:Not for profit	small	Local Histories	Still open	domus	4.0	English and Welsh Countryside	Older Farming Communities	/England/South West (English Region)/Devon (English County)/South Hams (English District or Borough)	South West (English Region)	Independent	
Cornwalls Regimental Museum	mm.domus.SW104	Bodmin	PL31 1EG	Accredited	Independent:Not for profit	small	War and conflict:Regiment	Still open	domus	5.0	Remoter Coastal Living	Ageing Coastal Living	/England/South West (English Region)/Cornwall (English UA)	South West (English Region)	Independent	
Somerset Military Museum	mm.domus.SW124	Taunton	TA1 4AA	Accredited	Independent:Not for profit	small	War and conflict:Regiment	Still open	domus	3.0	English and Welsh Countryside	Sparse English and Welsh Countryside	/England/South West (English Region)/Somerset (English County)/Taunton Deane (English District or Borough)	South West (English Region)	Independent	
Exeters Underground Passages	mm.musa.129	Exeter	EX1 1GA	Unaccredited	Government:Local Authority	small	Utilities:Water and waste	Still open	musassoc	2.0	Larger Towns and Cities	Larger Towns and Cities	/England/South West (English Region)/Devon (English County)/Exeter (English District or Borough)	South West (English Region)	Government	
Thomas Newcomen Engine	mm.wiki.086	Dartmouth	TQ6 9YY	Unaccredited	Independent:Unknown	small	Industry and manufacture:Steam and engines	Still open	wiki	6.0	English and Welsh Countryside	Older Farming Communities	/England/South West (English Region)/Devon (English County)/South Hams (English District or Borough)	South West (English Region)	Independent	
Brixham Battery Museum	mm.wiki.078	Brixham	TQ5 8RU	Unaccredited	Independent:Not for profit	small	War and conflict:Other	Still open	wiki	5.0	Remoter Coastal Living	Seaside Living	/England/South West (English Region)/Torbay (English UA)	South West (English Region)	Independent	
